ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
284,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
177,republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
14,democrat,y,y,y,n,n,y,y,y,unknown,y,y,unknown,n,n,y,unknown
36,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
154,democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
146,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,unknown,y
357,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
167,republican,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
40,democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
21,democrat,y,y,y,n,n,unknown,y,y,n,n,y,n,n,n,y,y
68,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
257,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
242,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
79,democrat,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
93,democrat,y,y,y,n,n,n,y,y,n,y,y,n,n,unknown,y,y
282,republican,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,unknown
61,democrat,y,y,y,n,n,unknown,y,y,y,y,n,n,n,n,y,unknown
10,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
172,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
374,democrat,n,y,y,unknown,y,y,n,y,n,y,unknown,n,y,y,unknown,y
138,democrat,n,unknown,y,n,n,y,y,y,y,y,n,n,n,y,y,y
227,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
330,democrat,y,unknown,y,n,n,y,y,y,y,y,n,n,n,n,y,unknown
2,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
430,democrat,y,n,y,n,unknown,n,y,y,y,y,n,y,n,unknown,y,y
376,democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
289,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
111,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
65,democrat,y,y,y,n,n,n,y,y,y,n,y,unknown,n,n,n,y
161,democrat,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
427,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
314,republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
397,democrat,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
160,democrat,n,y,y,n,unknown,y,y,y,y,y,y,n,n,unknown,n,unknown
310,democrat,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y
137,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
236,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
187,democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
204,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
201,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
326,democrat,n,y,n,n,y,y,n,n,unknown,n,n,y,y,y,n,y
360,republican,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
15,republican,n,y,n,y,y,y,n,n,n,n,n,y,unknown,unknown,n,unknown
359,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,unknown
73,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
107,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
83,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
392,democrat,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
196,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
207,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
122,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
346,republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
145,democrat,n,unknown,n,n,n,y,y,y,y,y,n,n,n,y,n,unknown
96,democrat,y,n,y,n,y,y,n,unknown,unknown,n,y,unknown,unknown,unknown,y,y
67,republican,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
336,republican,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,unknown
328,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
333,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
293,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
211,democrat,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
395,democrat,y,y,unknown,unknown,unknown,y,n,n,n,n,y,n,y,n,n,y
228,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,unknown,y
318,democrat,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
292,democrat,y,n,y,n,n,y,y,y,y,y,n,unknown,n,y,n,y
191,republican,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
399,democrat,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
185,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
1,republican,n,y,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
361,democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
433,republican,n,unknown,n,y,y,y,n,n,n,n,y,y,y,y,n,y
97,democrat,n,n,unknown,n,y,y,n,n,n,n,y,y,y,y,n,y
267,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
222,democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,unknown
203,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
87,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
352,republican,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y
100,republican,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,n
248,republican,n,y,n,y,y,y,unknown,n,n,n,n,unknown,y,y,n,n
41,democrat,y,y,y,n,n,n,y,y,y,n,unknown,n,n,n,n,unknown
378,republican,n,y,n,y,y,y,unknown,unknown,n,n,unknown,unknown,y,unknown,unknown,unknown
332,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
77,democrat,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,unknown
261,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
216,democrat,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,unknown
32,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
121,republican,n,unknown,unknown,y,y,y,n,n,n,y,n,y,y,y,unknown,y
209,democrat,n,n,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
48,democrat,y,n,y,n,n,n,y,y,unknown,n,n,n,n,n,n,unknown
18,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
135,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
313,democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
164,republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
415,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
22,democrat,y,y,y,n,n,n,y,y,y,n,n,n,unknown,unknown,y,y
379,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
347,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
206,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
339,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
358,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
422,democrat,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
106,democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
29,republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
156,republican,y,y,n,y,y,y,n,unknown,n,n,y,y,y,y,n,n
367,democrat,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,unknown
200,democrat,y,y,n,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
220,democrat,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
421,republican,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y
247,democrat,n,n,y,n,y,n,y,y,y,n,n,n,n,y,unknown,y
105,democrat,unknown,unknown,unknown,unknown,n,y,y,y,y,y,unknown,n,y,y,n,unknown
199,democrat,n,n,y,n,n,n,y,y,y,y,y,n,unknown,n,y,unknown
411,republican,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
69,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
432,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
405,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
307,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
132,democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
12,republican,n,y,n,y,y,y,n,n,n,n,y,unknown,y,y,unknown,unknown
218,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
166,democrat,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,unknown
210,democrat,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
115,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
407,democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
3,democrat,unknown,y,y,unknown,y,y,n,n,n,n,y,n,y,y,n,n
51,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
311,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n
233,democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,unknown
66,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
193,democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
56,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
182,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
331,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
345,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
54,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
157,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
244,democrat,n,y,y,n,n,n,y,y,unknown,y,n,n,y,n,y,y
389,democrat,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,unknown
243,republican,n,n,n,n,y,y,y,n,n,n,n,unknown,n,y,y,y
152,democrat,y,y,unknown,y,y,y,n,n,y,n,y,unknown,y,y,n,n
377,democrat,y,unknown,y,n,n,n,y,y,y,n,y,n,n,n,y,y
189,republican,y,unknown,n,y,y,y,y,y,n,n,n,y,unknown,y,unknown,unknown
273,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,unknown
301,republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y
235,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,unknown
418,democrat,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
44,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
428,republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
165,democrat,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,unknown
230,republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
297,republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
382,democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,unknown
320,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
277,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
70,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
168,republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
20,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
