ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
129,n,unknown,y,n,n,y,n,y,n,y,y,n,n,n,y,y
114,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
291,y,n,y,n,unknown,y,unknown,y,y,y,n,n,y,y,n,y
42,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
264,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
231,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
322,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
162,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
402,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
287,n,n,y,n,n,y,unknown,y,unknown,y,y,y,n,y,y,unknown
94,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
131,y,unknown,y,n,unknown,unknown,y,y,y,n,n,n,n,n,y,unknown
391,unknown,unknown,n,n,unknown,y,unknown,n,n,n,y,y,n,y,n,unknown
294,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
98,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
81,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,unknown
251,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
356,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
409,y,n,y,n,n,y,y,y,y,n,n,y,unknown,y,y,y
315,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
7,n,y,n,y,y,y,n,n,n,n,n,n,unknown,y,y,y
24,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
92,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
99,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
434,n,n,n,y,y,y,unknown,unknown,unknown,unknown,n,y,y,y,n,y
104,y,n,n,n,y,y,unknown,n,unknown,n,n,n,n,y,unknown,n
234,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
246,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
195,n,n,y,n,n,y,y,unknown,y,y,y,n,n,n,y,y
219,y,unknown,y,n,n,n,y,y,y,n,unknown,n,n,n,y,unknown
25,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
386,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
404,n,y,n,y,y,y,n,n,n,y,n,y,unknown,y,n,n
309,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
365,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
202,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
351,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
424,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
354,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y
8,n,y,n,y,y,y,n,n,n,n,n,n,y,y,unknown,y
299,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
45,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,unknown
279,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
140,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
224,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
270,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
290,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,unknown
341,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y
355,n,y,y,n,n,y,y,y,y,y,n,unknown,n,n,y,y
58,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
124,y,unknown,n,y,y,y,n,y,n,n,n,y,y,y,n,y
13,n,y,y,n,n,n,y,y,y,n,n,n,y,n,unknown,unknown
72,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
110,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
47,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
103,y,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,unknown
143,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
74,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
283,y,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
401,n,y,n,y,y,y,n,unknown,n,n,unknown,unknown,unknown,y,n,unknown
127,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
324,y,y,y,n,y,y,n,y,unknown,y,n,n,y,y,n,unknown
321,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
342,n,unknown,y,unknown,n,y,y,y,y,y,y,n,unknown,unknown,y,y
134,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
9,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
102,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
329,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
259,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
241,n,n,n,y,n,y,y,unknown,y,n,n,y,y,y,n,y
410,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
323,y,y,y,n,unknown,y,n,unknown,n,n,y,n,y,y,n,unknown
371,y,y,y,n,unknown,y,y,y,n,y,unknown,unknown,n,n,y,y
188,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
85,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
366,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
388,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,unknown
350,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
368,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,unknown
33,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
39,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
17,y,n,y,n,n,y,n,y,unknown,y,y,y,unknown,n,n,y
101,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
181,unknown,unknown,y,n,n,n,y,y,y,unknown,unknown,n,n,n,unknown,unknown
6,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
340,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
179,unknown,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,unknown
278,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
327,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
192,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,n,unknown
420,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
232,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
62,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
174,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
108,n,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown
89,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
223,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
286,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
180,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
363,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
183,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
268,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
90,n,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,unknown
408,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
381,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
414,y,y,y,y,y,y,y,y,n,y,unknown,unknown,unknown,y,n,y
276,n,n,y,n,y,y,n,n,n,n,unknown,n,y,y,n,n
302,n,n,unknown,n,n,y,y,y,y,n,n,n,n,n,y,y
344,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
95,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
78,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
64,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
194,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
215,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
158,n,y,y,n,n,y,n,y,y,n,y,n,unknown,unknown,unknown,unknown
147,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
362,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,unknown
304,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
316,n,y,y,y,y,y,y,unknown,n,n,n,n,unknown,unknown,y,unknown
27,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
55,y,y,y,n,n,y,unknown,y,n,n,y,y,n,y,n,unknown
170,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
50,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
221,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
417,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y
364,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
295,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,unknown
38,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
120,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
249,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
63,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,unknown
144,unknown,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
125,n,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
253,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
11,n,y,n,y,y,n,n,n,n,n,unknown,unknown,y,y,n,n
274,n,n,n,y,y,n,y,y,n,y,n,y,y,y,unknown,y
337,n,n,y,n,n,y,y,y,n,n,y,n,n,y,unknown,y
229,n,y,n,y,y,y,n,n,n,n,n,y,y,unknown,n,y
280,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
416,n,y,y,n,n,y,y,y,unknown,y,n,n,n,n,n,y
335,n,y,y,n,n,y,y,y,unknown,n,y,y,n,n,y,y
400,n,y,n,y,unknown,y,n,n,n,y,n,y,y,y,n,n
34,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
26,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
16,n,y,n,y,y,y,n,n,n,y,n,y,y,unknown,n,unknown
53,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
375,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
396,y,y,y,unknown,n,n,n,y,n,n,y,unknown,n,n,y,y
173,n,y,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
117,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
353,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,unknown
84,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
413,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
373,n,y,y,y,y,y,n,n,n,n,y,y,unknown,y,n,n
190,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
82,y,n,y,n,n,n,y,y,unknown,y,y,y,n,y,n,y
387,n,unknown,y,n,y,y,n,y,n,n,y,n,n,n,n,unknown
76,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
281,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
260,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
213,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
37,y,unknown,n,y,y,y,n,n,n,y,n,y,unknown,y,n,y
296,n,y,n,y,y,y,unknown,unknown,n,y,n,y,unknown,unknown,unknown,unknown
142,n,n,n,y,y,y,y,y,y,y,n,y,y,y,unknown,y
423,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
212,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
372,y,y,y,n,unknown,n,y,y,y,y,n,n,n,n,y,unknown
5,y,y,y,n,y,y,n,n,n,n,y,unknown,y,y,y,y
91,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
349,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,unknown
113,n,unknown,y,n,n,y,y,y,n,y,n,n,n,n,y,unknown
186,y,n,y,n,n,n,y,y,y,y,n,unknown,n,n,y,y
237,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
338,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
184,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown,unknown,unknown,unknown,unknown,unknown
136,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
305,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
